help_mode,task,disturbance,episode,seed,success,help_requested,help_step,request_score,max_risk_score,risk_threshold,disturbance_fired,disturbance_trigger_step,steps
learned_help,can,action_delay,0,600027,True,False,,,0.9491361975669861,0.95,True,3.0,181
learned_help,can,action_delay,1,600028,False,True,119.0,0.9920256733894348,0.9920256733894348,0.95,True,4.0,260
learned_help,can,action_delay,2,600029,False,True,66.0,0.9716570973396301,0.9716570973396301,0.95,True,4.0,260
learned_help,can,action_delay,3,600030,False,False,,,0.9146557450294495,0.95,True,4.0,260
learned_help,can,action_delay,4,600031,False,True,25.0,0.9768268465995789,0.9852216839790344,0.95,True,3.0,260
learned_help,can,action_delay,5,600032,True,True,31.0,0.968709409236908,0.968709409236908,0.95,True,5.0,154
learned_help,can,action_delay,6,600033,True,False,,,0.9242962598800659,0.95,True,4.0,208
learned_help,can,action_delay,7,600034,False,False,,,0.9343131184577942,0.95,True,5.0,260
learned_help,can,gripper_slip,0,600027,True,True,56.0,0.9696150422096252,0.9914549589157104,0.95,True,56.0,170
learned_help,can,gripper_slip,1,600028,True,True,40.0,0.9926245808601379,0.9926245808601379,0.95,True,40.0,153
learned_help,can,gripper_slip,2,600029,True,True,46.0,0.9915181994438171,0.9915181994438171,0.95,True,46.0,165
learned_help,can,gripper_slip,3,600030,True,True,60.0,0.9846614003181458,0.9870288372039795,0.95,True,60.0,190
learned_help,can,gripper_slip,4,600031,True,True,40.0,0.986459493637085,0.986459493637085,0.95,True,40.0,158
learned_help,can,gripper_slip,5,600032,True,True,46.0,0.990741491317749,0.990741491317749,0.95,True,46.0,170
learned_help,can,gripper_slip,6,600033,True,True,41.0,0.988003134727478,0.9898101091384888,0.95,True,41.0,154
learned_help,can,gripper_slip,7,600034,True,True,45.0,0.9926393032073975,0.9926393032073975,0.95,True,45.0,168
learned_help,can,nominal,0,600027,True,False,,,0.8135199546813965,0.97,False,,119
learned_help,can,nominal,1,600028,True,False,,,0.7723039984703064,0.97,False,,120
learned_help,can,nominal,2,600029,True,False,,,0.801956832408905,0.97,False,,125
learned_help,can,nominal,3,600030,True,False,,,0.8973674774169922,0.97,False,,151
learned_help,can,nominal,4,600031,True,False,,,0.7686193585395813,0.97,False,,104
learned_help,can,nominal,5,600032,True,False,,,0.8172661066055298,0.97,False,,127
learned_help,can,nominal,6,600033,True,False,,,0.7647041082382202,0.97,False,,106
learned_help,can,nominal,7,600034,True,False,,,0.81113600730896,0.97,False,,127
learned_help,can,object_shift,0,600027,True,True,14.0,0.9796864986419678,0.9796864986419678,0.97,True,14.0,131
learned_help,can,object_shift,1,600028,True,True,14.0,0.9902190566062927,0.9902190566062927,0.97,True,14.0,131
learned_help,can,object_shift,2,600029,True,True,14.0,0.9919512271881104,0.9919512271881104,0.97,True,14.0,137
learned_help,can,object_shift,3,600030,True,True,14.0,0.9903912544250488,0.9903912544250488,0.97,True,14.0,159
learned_help,can,object_shift,4,600031,True,True,14.0,0.9888309836387634,0.9888309836387634,0.97,True,14.0,136
learned_help,can,object_shift,5,600032,True,True,14.0,0.9840149283409119,0.9840149283409119,0.97,True,14.0,135
learned_help,can,object_shift,6,600033,False,False,,,0.9631086587905884,0.97,True,14.0,260
learned_help,can,object_shift,7,600034,True,True,14.0,0.9929293990135193,0.9929293990135193,0.97,True,14.0,137
learned_help,can,action_noise,0,600027,True,False,,,0.8171532154083252,0.97,True,8.0,134
learned_help,can,action_noise,1,600028,True,False,,,0.8592936992645264,0.97,True,8.0,135
learned_help,can,action_noise,2,600029,True,False,,,0.801956832408905,0.97,True,8.0,121
learned_help,can,action_noise,3,600030,True,False,,,0.8695392608642578,0.97,True,8.0,133
learned_help,can,action_noise,4,600031,True,False,,,0.7686193585395813,0.97,True,8.0,89
learned_help,can,action_noise,5,600032,True,False,,,0.8281114101409912,0.97,True,8.0,111
learned_help,can,action_noise,6,600033,True,False,,,0.7647041082382202,0.97,True,8.0,109
learned_help,can,action_noise,7,600034,True,False,,,0.9458521008491516,0.97,True,8.0,137
learned_help,can,action_delay,0,600027,True,False,,,0.9491361975669861,0.97,True,3.0,181
learned_help,can,action_delay,1,600028,False,True,119.0,0.9920256733894348,0.9920256733894348,0.97,True,4.0,260
learned_help,can,action_delay,2,600029,False,True,66.0,0.9716570973396301,0.9716570973396301,0.97,True,4.0,260
learned_help,can,action_delay,3,600030,False,False,,,0.9146557450294495,0.97,True,4.0,260
learned_help,can,action_delay,4,600031,False,True,25.0,0.9768268465995789,0.9852216839790344,0.97,True,3.0,260
learned_help,can,action_delay,5,600032,False,False,,,0.968709409236908,0.97,True,5.0,260
learned_help,can,action_delay,6,600033,True,False,,,0.9242962598800659,0.97,True,4.0,208
learned_help,can,action_delay,7,600034,False,False,,,0.9343131184577942,0.97,True,5.0,260
learned_help,can,gripper_slip,0,600027,True,True,57.0,0.9866155385971069,0.9866155385971069,0.97,True,56.0,171
learned_help,can,gripper_slip,1,600028,True,True,40.0,0.9926245808601379,0.9926245808601379,0.97,True,40.0,153
learned_help,can,gripper_slip,2,600029,True,True,46.0,0.9915181994438171,0.9915181994438171,0.97,True,46.0,165
learned_help,can,gripper_slip,3,600030,True,True,60.0,0.9846614003181458,0.9870288372039795,0.97,True,60.0,190
learned_help,can,gripper_slip,4,600031,True,True,40.0,0.986459493637085,0.986459493637085,0.97,True,40.0,158
learned_help,can,gripper_slip,5,600032,True,True,46.0,0.990741491317749,0.990741491317749,0.97,True,46.0,170
learned_help,can,gripper_slip,6,600033,True,True,41.0,0.988003134727478,0.9898101091384888,0.97,True,41.0,154
learned_help,can,gripper_slip,7,600034,True,True,45.0,0.9926393032073975,0.9926393032073975,0.97,True,45.0,168
learned_help,can,nominal,0,600027,True,False,,,0.8135199546813965,0.99,False,,119
learned_help,can,nominal,1,600028,True,False,,,0.7723039984703064,0.99,False,,120
learned_help,can,nominal,2,600029,True,False,,,0.801956832408905,0.99,False,,125
learned_help,can,nominal,3,600030,True,False,,,0.8973674774169922,0.99,False,,151
learned_help,can,nominal,4,600031,True,False,,,0.7686193585395813,0.99,False,,104
learned_help,can,nominal,5,600032,True,False,,,0.8172661066055298,0.99,False,,127
learned_help,can,nominal,6,600033,True,False,,,0.7647041082382202,0.99,False,,106
learned_help,can,nominal,7,600034,True,False,,,0.81113600730896,0.99,False,,127
learned_help,can,object_shift,0,600027,True,False,,,0.9796864986419678,0.99,True,14.0,115
learned_help,can,object_shift,1,600028,True,True,14.0,0.9902190566062927,0.9902190566062927,0.99,True,14.0,131
learned_help,can,object_shift,2,600029,True,True,14.0,0.9919512271881104,0.9919512271881104,0.99,True,14.0,137
learned_help,can,object_shift,3,600030,True,True,14.0,0.9903912544250488,0.9903912544250488,0.99,True,14.0,159
learned_help,can,object_shift,4,600031,True,False,,,0.9888309836387634,0.99,True,14.0,121
learned_help,can,object_shift,5,600032,False,False,,,0.9840149283409119,0.99,True,14.0,260
learned_help,can,object_shift,6,600033,False,False,,,0.9631086587905884,0.99,True,14.0,260
learned_help,can,object_shift,7,600034,True,True,14.0,0.9929293990135193,0.9929293990135193,0.99,True,14.0,137
learned_help,can,action_noise,0,600027,True,False,,,0.8171532154083252,0.99,True,8.0,134
learned_help,can,action_noise,1,600028,True,False,,,0.8592936992645264,0.99,True,8.0,135
learned_help,can,action_noise,2,600029,True,False,,,0.801956832408905,0.99,True,8.0,121
learned_help,can,action_noise,3,600030,True,False,,,0.8695392608642578,0.99,True,8.0,133
learned_help,can,action_noise,4,600031,True,False,,,0.7686193585395813,0.99,True,8.0,89
learned_help,can,action_noise,5,600032,True,False,,,0.8281114101409912,0.99,True,8.0,111
learned_help,can,action_noise,6,600033,True,False,,,0.7647041082382202,0.99,True,8.0,109
learned_help,can,action_noise,7,600034,True,False,,,0.9458521008491516,0.99,True,8.0,137
learned_help,can,action_delay,0,600027,True,False,,,0.9491361975669861,0.99,True,3.0,181
learned_help,can,action_delay,1,600028,False,True,119.0,0.9920256733894348,0.9920256733894348,0.99,True,4.0,260
learned_help,can,action_delay,2,600029,False,False,,,0.9716570973396301,0.99,True,4.0,260
learned_help,can,action_delay,3,600030,False,False,,,0.9146557450294495,0.99,True,4.0,260
learned_help,can,action_delay,4,600031,True,False,,,0.9768268465995789,0.99,True,3.0,208
learned_help,can,action_delay,5,600032,False,False,,,0.968709409236908,0.99,True,5.0,260
learned_help,can,action_delay,6,600033,True,False,,,0.9242962598800659,0.99,True,4.0,208
learned_help,can,action_delay,7,600034,False,False,,,0.9343131184577942,0.99,True,5.0,260
learned_help,can,gripper_slip,0,600027,False,False,,,0.9866155385971069,0.99,True,56.0,260
learned_help,can,gripper_slip,1,600028,True,True,40.0,0.9926245808601379,0.9926245808601379,0.99,True,40.0,153
learned_help,can,gripper_slip,2,600029,True,True,46.0,0.9915181994438171,0.9915181994438171,0.99,True,46.0,165
learned_help,can,gripper_slip,3,600030,False,False,,,0.9858536720275879,0.99,True,60.0,260
learned_help,can,gripper_slip,4,600031,True,True,41.0,0.9901907444000244,0.9901907444000244,0.99,True,40.0,159
learned_help,can,gripper_slip,5,600032,True,True,46.0,0.990741491317749,0.990741491317749,0.99,True,46.0,170
learned_help,can,gripper_slip,6,600033,False,False,,,0.9895169138908386,0.99,True,41.0,260
learned_help,can,gripper_slip,7,600034,True,True,45.0,0.9926393032073975,0.9926393032073975,0.99,True,45.0,168
learned_help,milk,nominal,0,600027,True,False,,,0.6956878304481506,0.9,False,,87
learned_help,milk,nominal,1,600028,True,True,9.0,0.9383155703544617,0.9383155703544617,0.9,False,,83
learned_help,milk,nominal,2,600029,True,False,,,0.5865731239318848,0.9,False,,80
learned_help,milk,nominal,3,600030,True,True,11.0,0.926403820514679,0.9528046250343323,0.9,False,,86
learned_help,milk,nominal,4,600031,True,True,11.0,0.9377702474594116,0.9377702474594116,0.9,False,,76
learned_help,milk,nominal,5,600032,True,False,,,0.6888114809989929,0.9,False,,91
learned_help,milk,nominal,6,600033,True,False,,,0.8647100329399109,0.9,False,,78
learned_help,milk,nominal,7,600034,True,False,,,0.6968508958816528,0.9,False,,92
learned_help,milk,object_shift,0,600027,True,True,14.0,0.9744786024093628,0.9744786024093628,0.9,True,14.0,101
learned_help,milk,object_shift,1,600028,True,True,9.0,0.9383155703544617,0.9918333292007446,0.9,True,14.0,85
learned_help,milk,object_shift,2,600029,True,True,14.0,0.9268832802772522,0.9268832802772522,0.9,True,14.0,88
learned_help,milk,object_shift,3,600030,False,True,11.0,0.926403820514679,0.9911136031150818,0.9,True,14.0,260
learned_help,milk,object_shift,4,600031,True,True,11.0,0.9377702474594116,0.991198718547821,0.9,True,14.0,104
learned_help,milk,object_shift,5,600032,True,True,14.0,0.9882577061653137,0.9882577061653137,0.9,True,14.0,93
learned_help,milk,object_shift,6,600033,True,True,14.0,0.9329853057861328,0.9330958127975464,0.9,True,14.0,88
learned_help,milk,object_shift,7,600034,True,True,14.0,0.9887822270393372,0.9887822270393372,0.9,True,14.0,101
learned_help,milk,action_noise,0,600027,True,False,,,0.6956878304481506,0.9,True,8.0,86
learned_help,milk,action_noise,1,600028,True,True,9.0,0.9390726089477539,0.9390726089477539,0.9,True,8.0,83
learned_help,milk,action_noise,2,600029,True,True,65.0,0.9411138296127319,0.9411138296127319,0.9,True,8.0,132
learned_help,milk,action_noise,3,600030,True,True,11.0,0.976435124874115,0.976435124874115,0.9,True,8.0,84
