logging_scheme,logging_seed,method,pehe,mae,ate,true_ate,ate_error,helpful_auroc,helpful_average_precision,harmful_auroc,sign_accuracy
randomized,101,paired_label_oracle,0.48751502971763566,0.3701745196734908,0.39269558088356676,0.4100197758734344,0.017324194989867647,0.7906100092574411,0.7453194576460487,0.8758745274941002,0.4935158501440922
randomized,101,failure_risk,0.61401532758599,0.4491887404483632,0.18911234848370104,0.4100197758734344,0.22090742738973337,0.7060324150699918,0.6168101952451978,0.8936156882400852,0.586687306501548
randomized,101,ensemble_uncertainty,0.6910911913853315,0.491390839394484,0.015100857434201038,0.4100197758734344,0.3949189184392334,0.703255182764328,0.6428695952710742,0.7711922811853894,0.7692307692307693
randomized,101,s_learner,0.5390515908976111,0.4242720822352442,0.43365952475690184,0.4100197758734344,0.023639748883467426,0.7087973742530929,0.5927952220450007,0.8201971472129983,0.5626598465473146
randomized,101,t_learner,0.5397974070980522,0.4133645643970647,0.45634448281246814,0.4100197758734344,0.04632470693903373,0.7266214548208826,0.6377995101102971,0.9133930622559154,0.5319634703196348
randomized,101,ipw_learner,0.8343465279289515,0.6381667467790682,0.4591956462713552,0.4100197758734344,0.04917587039792076,0.5603749964933935,0.48773316514424686,0.5916504813817012,0.38461538461538464
randomized,101,dr_learner,0.6333081022489752,0.46138905180801115,0.4126955250974305,0.4100197758734344,0.0026757492239961045,0.7004867169747805,0.6100115554340811,0.8466261512436564,0.43736878936319107
randomized,101,reversibility_proxy,0.5507174165534857,0.3995969198845528,0.5901237215426853,0.4100197758734344,0.18010394566925092,0.7384299520296238,0.6362157120040508,0.8889480608984399,0.455026455026455
randomized,211,paired_label_oracle,0.48751502971763566,0.3701745196734908,0.39269558088356676,0.4100197758734344,0.017324194989867647,0.7906100092574411,0.7453194576460487,0.8758745274941002,0.4935158501440922
randomized,211,failure_risk,0.61401532758599,0.4491887404483632,0.18911234848370104,0.4100197758734344,0.22090742738973337,0.7060324150699918,0.6168101952451978,0.8936156882400852,0.586687306501548
randomized,211,ensemble_uncertainty,0.6910911913853315,0.491390839394484,0.015100857434201038,0.4100197758734344,0.3949189184392334,0.703255182764328,0.6428695952710742,0.7711922811853894,0.7692307692307693
randomized,211,s_learner,0.5783161201023309,0.44795625776189996,0.290371297490915,0.4100197758734344,0.11964847838251941,0.6798801441916571,0.5827765913126517,0.7385815425098678,0.5452793834296724
randomized,211,t_learner,0.5171403445377362,0.41256034180728246,0.32148674562642193,0.4100197758734344,0.08853303024701248,0.7474542037198081,0.6643295343888188,0.9234174968151536,0.5454545454545454
randomized,211,ipw_learner,0.8679800723486403,0.6804160360092187,0.21983656103752833,0.4100197758734344,0.19018321483590608,0.5743505764860998,0.49093526393789216,0.7228035001984002,0.3509127789046653
randomized,211,dr_learner,0.6540353147999833,0.4911360178086305,0.2660751040354518,0.4100197758734344,0.1439446718379826,0.6756406569977839,0.6017721131279771,0.7632353862539941,0.4083694083694084
randomized,211,reversibility_proxy,0.5509418559027282,0.4104229650296266,0.5340019851903344,0.4100197758734344,0.12398220931689996,0.7236688921928914,0.632923478622742,0.8507090199026794,0.4663951120162933
randomized,307,paired_label_oracle,0.48751502971763566,0.3701745196734908,0.39269558088356676,0.4100197758734344,0.017324194989867647,0.7906100092574411,0.7453194576460487,0.8758745274941002,0.4935158501440922
randomized,307,failure_risk,0.61401532758599,0.4491887404483632,0.18911234848370104,0.4100197758734344,0.22090742738973337,0.7060324150699918,0.6168101952451978,0.8936156882400852,0.586687306501548
randomized,307,ensemble_uncertainty,0.6910911913853315,0.491390839394484,0.015100857434201038,0.4100197758734344,0.3949189184392334,0.703255182764328,0.6428695952710742,0.7711922811853894,0.7692307692307693
randomized,307,s_learner,0.567051830021864,0.44220124342495387,0.3552345592742227,0.4100197758734344,0.054785216599211706,0.6776446825819844,0.5919388307389486,0.7064511413236431,0.5360730593607306
randomized,307,t_learner,0.5260366529436138,0.4350186314976522,0.424047879457238,0.4100197758734344,0.014028103583803575,0.6984108059584256,0.5688886995931702,0.8865672576906208,0.5115273775216138
randomized,307,ipw_learner,0.8455087691987787,0.663779319227543,0.2567132300071525,0.4100197758734344,0.1533065458662819,0.590389794372598,0.5124136436988325,0.7757450452143767,0.36092265943012214
randomized,307,dr_learner,0.6172407580779428,0.4782442150118128,0.42909614009513775,0.4100197758734344,0.019076364221703335,0.6568838191152131,0.5755883383075223,0.8270262932564794,0.44398340248962653
randomized,307,reversibility_proxy,0.5669203280470114,0.426216810725595,0.5869174571750819,0.4100197758734344,0.1768976813016475,0.704344860717592,0.5944372504419081,0.8513459891819644,0.4777777777777778
randomized,401,paired_label_oracle,0.48751502971763566,0.3701745196734908,0.39269558088356676,0.4100197758734344,0.017324194989867647,0.7906100092574411,0.7453194576460487,0.8758745274941002,0.4935158501440922
