logging_scheme,logging_seed,method,target_budget,episodes,success_rate,intervention_rate,matched_oracle_success_rate,regret_to_matched_oracle,request_precision,nominal_false_alarm_rate
adaptive_value,101,never_help,0.0,240,0.45,0.0,0.45,0.0,,0.0
adaptive_value,101,always_help,1.0,240,0.9833333333333333,1.0,0.9958333333333333,0.012500000000000067,0.5375,1.0
adaptive_value,101,oracle_value,,240,0.9958333333333333,0.5458333333333333,0.9958333333333333,0.0,1.0,0.10416666666666667
adaptive_value,101,paired_label_oracle,0.1,240,0.6833333333333333,0.2708333333333333,0.7208333333333333,0.03749999999999998,0.8615384615384616,0.125
adaptive_value,101,paired_label_oracle,0.25,240,0.6833333333333333,0.2708333333333333,0.7208333333333333,0.03749999999999998,0.8615384615384616,0.125
adaptive_value,101,paired_label_oracle,0.5,240,0.9125,0.6958333333333333,0.9958333333333333,0.08333333333333337,0.6706586826347305,0.4583333333333333
adaptive_value,101,paired_label_oracle,0.75,240,0.975,0.9375,0.9958333333333333,0.02083333333333337,0.5644444444444444,0.875
adaptive_value,101,failure_risk,0.1,240,0.5208333333333334,0.10416666666666667,0.5541666666666667,0.033333333333333326,0.68,0.0625
adaptive_value,101,failure_risk,0.25,240,0.6041666666666666,0.24583333333333332,0.6958333333333333,0.09166666666666667,0.6271186440677966,0.14583333333333334
adaptive_value,101,failure_risk,0.5,240,0.7375,0.4583333333333333,0.9083333333333333,0.17083333333333328,0.6272727272727273,0.3541666666666667
adaptive_value,101,failure_risk,0.75,240,0.8666666666666667,0.7541666666666667,0.9958333333333333,0.12916666666666665,0.5524861878453039,0.6458333333333334
adaptive_value,101,ensemble_uncertainty,0.1,240,0.49166666666666664,0.04583333333333333,0.49583333333333335,0.004166666666666707,0.9090909090909091,0.020833333333333332
adaptive_value,101,ensemble_uncertainty,0.25,240,0.5833333333333334,0.19166666666666668,0.6416666666666667,0.05833333333333335,0.6956521739130435,0.041666666666666664
adaptive_value,101,ensemble_uncertainty,0.5,240,0.8166666666666667,0.5208333333333334,0.9708333333333333,0.15416666666666667,0.704,0.125
adaptive_value,101,ensemble_uncertainty,0.75,240,0.9,0.7375,0.9958333333333333,0.09583333333333333,0.6271186440677966,0.4166666666666667
adaptive_value,101,s_learner,0.1,240,0.49583333333333335,0.07083333333333333,0.5208333333333334,0.025000000000000022,0.6470588235294118,0.08333333333333333
adaptive_value,101,s_learner,0.25,240,0.6125,0.2625,0.7125,0.09999999999999998,0.6190476190476191,0.1875
adaptive_value,101,s_learner,0.5,240,0.7625,0.45416666666666666,0.9041666666666667,0.14166666666666672,0.6880733944954128,0.3125
adaptive_value,101,s_learner,0.75,240,0.925,0.7666666666666667,0.9958333333333333,0.0708333333333333,0.6195652173913043,0.5625
adaptive_value,101,t_learner,0.1,240,0.5083333333333333,0.07083333333333333,0.5208333333333334,0.012500000000000067,0.8235294117647058,0.041666666666666664
adaptive_value,101,t_learner,0.25,240,0.6416666666666667,0.24166666666666667,0.6916666666666667,0.04999999999999993,0.7931034482758621,0.1875
adaptive_value,101,t_learner,0.5,240,0.8,0.49583333333333335,0.9458333333333333,0.14583333333333326,0.7058823529411765,0.3125
adaptive_value,101,t_learner,0.75,240,0.9416666666666667,0.8,0.9958333333333333,0.054166666666666696,0.6145833333333334,0.6041666666666666
adaptive_value,101,ipw_learner,0.1,240,0.8875,0.9208333333333333,0.9958333333333333,0.10833333333333339,0.502262443438914,1.0
adaptive_value,101,ipw_learner,0.25,240,0.8875,0.9208333333333333,0.9958333333333333,0.10833333333333339,0.502262443438914,1.0
