logging_scheme,logging_seed,logged_episodes,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
adaptive_value,401,240,0.5,0.7166666666666667,0.5,0.5333333333333333,0.5954397330164769,0.6973167447471036
adaptive_value,401,240,0.75,0.8708333333333333,0.75,0.5611111111111111,0.5954397330164769,0.6973167447471036
adaptive_value,503,60,0.1,0.5333333333333333,0.1,0.8333333333333334,0.7197770598062627,0.6079386063343338
adaptive_value,503,60,0.25,0.65,0.25,0.8,0.7197770598062627,0.6079386063343338
adaptive_value,503,60,0.5,0.8166666666666667,0.5,0.7333333333333333,0.7197770598062627,0.6079386063343338
adaptive_value,503,60,0.75,0.8666666666666667,0.75,0.5833333333333334,0.7197770598062627,0.6079386063343338
adaptive_value,503,120,0.1,0.5041666666666667,0.1,0.5416666666666666,0.6712479664768463,0.6758072208039947
adaptive_value,503,120,0.25,0.6208333333333333,0.25,0.6833333333333333,0.6712479664768463,0.6758072208039947
adaptive_value,503,120,0.5,0.7833333333333333,0.5,0.6833333333333333,0.6712479664768463,0.6758072208039947
adaptive_value,503,120,0.75,0.9041666666666667,0.75,0.6277777777777778,0.6712479664768463,0.6758072208039947
adaptive_value,503,180,0.1,0.5208333333333334,0.1,0.7083333333333334,0.6910827382842164,0.6583425673969759
adaptive_value,503,180,0.25,0.6416666666666667,0.25,0.7666666666666667,0.6910827382842164,0.6583425673969759
adaptive_value,503,180,0.5,0.7916666666666666,0.5,0.6833333333333333,0.6910827382842164,0.6583425673969759
adaptive_value,503,180,0.75,0.9166666666666666,0.75,0.6222222222222222,0.6910827382842164,0.6583425673969759
adaptive_value,503,240,0.1,0.5166666666666667,0.1,0.6666666666666666,0.6165101207193149,0.7282520268185261
adaptive_value,503,240,0.25,0.6416666666666667,0.25,0.7666666666666667,0.6165101207193149,0.7282520268185261
adaptive_value,503,240,0.5,0.8041666666666667,0.5,0.7083333333333334,0.6165101207193149,0.7282520268185261
adaptive_value,503,240,0.75,0.9166666666666666,0.75,0.6388888888888888,0.6165101207193149,0.7282520268185261
