held_out_axis,held_out_value,logging_seed,method,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
task,bread,101,dr_learner,0.1,0.38333333333333336,0.1,0.8333333333333334,0.7366504679067833,0.7359344112727457
task,bread,101,dr_learner,0.25,0.5,0.25,0.8,0.7366504679067833,0.7359344112727457
task,bread,101,dr_learner,0.5,0.6833333333333333,0.5,0.7666666666666667,0.7366504679067833,0.7359344112727457
task,bread,101,dr_learner,0.75,0.8,0.75,0.6666666666666666,0.7366504679067833,0.7359344112727457
task,bread,101,reversibility_proxy,0.1,0.4,0.1,1.0,0.5730548245018042,0.6035278017132141
task,bread,101,reversibility_proxy,0.25,0.5166666666666667,0.25,0.8666666666666667,0.5730548245018042,0.6035278017132141
task,bread,101,reversibility_proxy,0.5,0.65,0.5,0.7,0.5730548245018042,0.6035278017132141
task,bread,101,reversibility_proxy,0.75,0.8,0.75,0.6666666666666666,0.5730548245018042,0.6035278017132141
task,bread,211,dr_learner,0.1,0.4,0.1,1.0,0.646597931376005,0.6556084951087232
task,bread,211,dr_learner,0.25,0.43333333333333335,0.25,0.5333333333333333,0.646597931376005,0.6556084951087232
task,bread,211,dr_learner,0.5,0.5833333333333334,0.5,0.6,0.646597931376005,0.6556084951087232
task,bread,211,dr_learner,0.75,0.7166666666666667,0.75,0.5777777777777777,0.646597931376005,0.6556084951087232
task,bread,211,reversibility_proxy,0.1,0.4,0.1,1.0,0.5497595206493673,0.6747934512646359
task,bread,211,reversibility_proxy,0.25,0.55,0.25,1.0,0.5497595206493673,0.6747934512646359
task,bread,211,reversibility_proxy,0.5,0.7333333333333333,0.5,0.8666666666666667,0.5497595206493673,0.6747934512646359
task,bread,211,reversibility_proxy,0.75,0.85,0.75,0.7555555555555555,0.5497595206493673,0.6747934512646359
task,bread,307,dr_learner,0.1,0.38333333333333336,0.1,0.8333333333333334,0.5868441248419191,0.5935425008870191
task,bread,307,dr_learner,0.25,0.4666666666666667,0.25,0.6666666666666666,0.5868441248419191,0.5935425008870191
task,bread,307,dr_learner,0.5,0.6166666666666667,0.5,0.6333333333333333,0.5868441248419191,0.5935425008870191
task,bread,307,dr_learner,0.75,0.8333333333333334,0.75,0.7111111111111111,0.5868441248419191,0.5935425008870191
task,bread,307,reversibility_proxy,0.1,0.35,0.1,0.5,0.5773270147471816,0.5954179127173197
task,bread,307,reversibility_proxy,0.25,0.48333333333333334,0.25,0.7333333333333333,0.5773270147471816,0.5954179127173197
task,bread,307,reversibility_proxy,0.5,0.6833333333333333,0.5,0.7666666666666667,0.5773270147471816,0.5954179127173197
task,bread,307,reversibility_proxy,0.75,0.8833333333333333,0.75,0.7777777777777778,0.5773270147471816,0.5954179127173197
task,can,101,dr_learner,0.1,0.45,0.1,0.5,0.6776466465900942,0.6592169092169092
task,can,101,dr_learner,0.25,0.6,0.25,0.8,0.6776466465900942,0.6592169092169092
task,can,101,dr_learner,0.5,0.7833333333333333,0.5,0.7666666666666667,0.6776466465900942,0.6592169092169092
task,can,101,dr_learner,0.75,0.8833333333333333,0.75,0.6666666666666666,0.6776466465900942,0.6592169092169092
task,can,101,reversibility_proxy,0.1,0.4666666666666667,0.1,0.6666666666666666,0.5720721970135406,0.7117612117612118
task,can,101,reversibility_proxy,0.25,0.5333333333333333,0.25,0.5333333333333333,0.5720721970135406,0.7117612117612118
task,can,101,reversibility_proxy,0.5,0.7166666666666667,0.5,0.6333333333333333,0.5720721970135406,0.7117612117612118
task,can,101,reversibility_proxy,0.75,0.8333333333333334,0.75,0.5777777777777777,0.5720721970135406,0.7117612117612118
task,can,211,dr_learner,0.1,0.45,0.1,0.5,0.5331068824617701,0.7792297792297792
task,can,211,dr_learner,0.25,0.5666666666666667,0.25,0.6666666666666666,0.5331068824617701,0.7792297792297792
task,can,211,dr_learner,0.5,0.7333333333333333,0.5,0.6666666666666666,0.5331068824617701,0.7792297792297792
task,can,211,dr_learner,0.75,0.8833333333333333,0.75,0.6444444444444445,0.5331068824617701,0.7792297792297792
task,can,211,reversibility_proxy,0.1,0.4666666666666667,0.1,0.6666666666666666,0.5719934776854846,0.7486882486882487
task,can,211,reversibility_proxy,0.25,0.5666666666666667,0.25,0.6666666666666666,0.5719934776854846,0.7486882486882487
task,can,211,reversibility_proxy,0.5,0.7666666666666667,0.5,0.7333333333333333,0.5719934776854846,0.7486882486882487
task,can,211,reversibility_proxy,0.75,0.9166666666666666,0.75,0.6888888888888889,0.5719934776854846,0.7486882486882487
task,can,307,dr_learner,0.1,0.4,0.1,0.0,0.6581059659754002,0.5781605781605782
task,can,307,dr_learner,0.25,0.5,0.25,0.4,0.6581059659754002,0.5781605781605782
task,can,307,dr_learner,0.5,0.65,0.5,0.5,0.6581059659754002,0.5781605781605782
task,can,307,dr_learner,0.75,0.7666666666666667,0.75,0.4888888888888889,0.6581059659754002,0.5781605781605782
task,can,307,reversibility_proxy,0.1,0.45,0.1,0.5,0.5859879722307677,0.7074299574299574
task,can,307,reversibility_proxy,0.25,0.5833333333333334,0.25,0.7333333333333333,0.5859879722307677,0.7074299574299574
task,can,307,reversibility_proxy,0.5,0.7333333333333333,0.5,0.6666666666666666,0.5859879722307677,0.7074299574299574
task,can,307,reversibility_proxy,0.75,0.9,0.75,0.6666666666666666,0.5859879722307677,0.7074299574299574
task,cereal,101,dr_learner,0.1,0.5666666666666667,0.1,0.6666666666666666,0.5365592328145659,0.7441278816876903
task,cereal,101,dr_learner,0.25,0.65,0.25,0.6,0.5365592328145659,0.7441278816876903
task,cereal,101,dr_learner,0.5,0.8833333333333333,0.5,0.7666666666666667,0.5365592328145659,0.7441278816876903
task,cereal,101,dr_learner,0.75,0.9666666666666667,0.75,0.6222222222222222,0.5365592328145659,0.7441278816876903
