logging_scheme,method,cost,logging_seeds,success_mean,intervention_mean,utility_mean,utility_std
adaptive_value,paired_label_oracle,0.05,5,0.9833333333333332,1.0,0.9333333333333333,0.0
adaptive_value,paired_label_oracle,0.1,5,0.9833333333333332,1.0,0.8833333333333332,0.0
adaptive_value,paired_label_oracle,0.25,5,0.975,0.9541666666666668,0.7364583333333333,0.0
adaptive_value,paired_label_oracle,0.5,5,0.9333333333333333,0.8041666666666668,0.53125,0.0
adaptive_value,s_learner,0.05,5,0.9741666666666667,0.99,0.9246666666666666,0.009402275138378923
adaptive_value,s_learner,0.1,5,0.9625,0.9783333333333333,0.8646666666666667,0.012354711202164545
adaptive_value,s_learner,0.25,5,0.9383333333333332,0.9258333333333333,0.7068749999999999,0.021138391547660895
adaptive_value,s_learner,0.5,5,0.8816666666666666,0.7725,0.49541666666666667,0.03009677677463526
adaptive_value,t_learner,0.05,5,0.9733333333333333,0.9733333333333334,0.9246666666666666,0.01248575577296879
adaptive_value,t_learner,0.1,5,0.97,0.9550000000000001,0.8745,0.009760144295381407
adaptive_value,t_learner,0.25,5,0.9558333333333333,0.8925000000000001,0.7327083333333333,0.015284484007937254
adaptive_value,t_learner,0.5,5,0.9125,0.7558333333333334,0.5345833333333333,0.03246258530130408
adaptive_value,ipw_learner,0.05,5,0.9591666666666667,0.9941666666666666,0.9094583333333333,0.024630780483415896
adaptive_value,ipw_learner,0.1,5,0.9583333333333334,0.9941666666666666,0.8589166666666668,0.024284196964738703
adaptive_value,ipw_learner,0.25,5,0.9566666666666667,0.9908333333333333,0.7089583333333334,0.01729919514826564
adaptive_value,ipw_learner,0.5,5,0.9441666666666666,0.975,0.45666666666666667,0.020380495168992662
adaptive_value,dr_learner,0.05,5,0.975,0.9958333333333333,0.9252083333333333,0.014614549922746316
adaptive_value,dr_learner,0.1,5,0.975,0.9891666666666667,0.8760833333333334,0.014617816374395808
adaptive_value,dr_learner,0.25,5,0.9650000000000001,0.9541666666666666,0.7264583333333332,0.01834930648856003
adaptive_value,dr_learner,0.5,5,0.9341666666666667,0.8458333333333332,0.51125,0.01289312370563821
randomized,paired_label_oracle,0.05,5,0.9833333333333332,1.0,0.9333333333333333,0.0
randomized,paired_label_oracle,0.1,5,0.9833333333333332,1.0,0.8833333333333332,0.0
randomized,paired_label_oracle,0.25,5,0.975,0.9541666666666668,0.7364583333333333,0.0
randomized,paired_label_oracle,0.5,5,0.9333333333333333,0.8041666666666668,0.53125,0.0
randomized,s_learner,0.05,5,0.9741666666666667,0.9966666666666667,0.9243333333333332,0.009383560906062164
randomized,s_learner,0.1,5,0.9658333333333333,0.985,0.8673333333333334,0.01102632582101174
randomized,s_learner,0.25,5,0.945,0.9425000000000001,0.709375,0.009547032697824698
randomized,s_learner,0.5,5,0.9091666666666667,0.835,0.4916666666666666,0.01926379375927807
randomized,t_learner,0.05,5,0.9775,0.9916666666666666,0.9279166666666667,0.007592027982620279
randomized,t_learner,0.1,5,0.9716666666666667,0.9800000000000001,0.8736666666666666,0.013298783361228528
randomized,t_learner,0.25,5,0.9558333333333333,0.9341666666666667,0.7222916666666667,0.009392345065708164
randomized,t_learner,0.5,5,0.9233333333333335,0.8133333333333332,0.5166666666666667,0.005705443307345511
randomized,ipw_learner,0.05,5,0.9683333333333334,0.9891666666666667,0.9188749999999999,0.006679025003696266
randomized,ipw_learner,0.1,5,0.9666666666666666,0.9875,0.8679166666666667,0.007150417625721021
randomized,ipw_learner,0.25,5,0.9566666666666667,0.9841666666666666,0.7106250000000001,0.010959798697968887
randomized,ipw_learner,0.5,5,0.9441666666666666,0.9691666666666666,0.45958333333333334,0.008665264309618911
randomized,dr_learner,0.05,5,0.9675,0.9925,0.9178749999999999,0.01579037483722286
randomized,dr_learner,0.1,5,0.9658333333333333,0.9891666666666665,0.8669166666666668,0.01775019561707543
randomized,dr_learner,0.25,5,0.9483333333333333,0.9658333333333333,0.7068749999999999,0.02200605582687537
randomized,dr_learner,0.5,5,0.9291666666666666,0.8841666666666667,0.48708333333333337,0.030096776774635244
uncertainty_selective,paired_label_oracle,0.05,5,0.9833333333333332,1.0,0.9333333333333333,0.0
uncertainty_selective,paired_label_oracle,0.1,5,0.9833333333333332,1.0,0.8833333333333332,0.0
uncertainty_selective,paired_label_oracle,0.25,5,0.975,0.9541666666666668,0.7364583333333333,0.0
