episode_id,policy_seed,task,disturbance,step,assistance_observed,outcome_observed,logging_propensity
119,127,milk,gripper_slip,90,False,0.0,0.5
185,227,milk,object_shift,70,True,0.0,0.5
223,227,cereal,nominal,110,False,1.0,0.5
5,27,can,object_shift,90,True,1.0,0.5
210,227,bread,action_noise,10,True,1.0,0.5
67,27,cereal,object_shift,90,False,1.0,0.5
228,227,cereal,action_noise,50,True,1.0,0.5
34,27,milk,action_delay,10,False,0.0,0.5
238,227,cereal,gripper_slip,90,True,1.0,0.5
64,27,cereal,object_shift,90,True,1.0,0.5
72,27,cereal,action_delay,10,False,1.0,0.5
47,27,bread,object_shift,110,True,0.0,0.5
68,27,cereal,action_noise,90,True,1.0,0.5
140,127,cereal,nominal,50,True,0.0,0.5
233,227,cereal,action_delay,90,True,1.0,0.5
27,27,milk,object_shift,10,True,1.0,0.5
49,27,bread,action_noise,10,True,1.0,0.5
32,27,milk,action_delay,90,False,0.0,0.5
222,227,cereal,nominal,30,True,1.0,0.5
234,227,cereal,action_delay,70,True,1.0,0.5
134,127,bread,action_delay,110,False,0.0,0.5
127,127,bread,object_shift,110,False,0.0,0.5
198,227,milk,gripper_slip,110,False,0.0,0.5
159,127,cereal,gripper_slip,70,True,1.0,0.5
189,227,milk,action_noise,10,False,1.0,0.5
218,227,bread,gripper_slip,90,True,1.0,0.5
74,27,cereal,action_delay,50,False,0.0,0.5
48,27,bread,action_noise,10,True,1.0,0.5
209,227,bread,action_noise,50,True,1.0,0.5
142,127,cereal,nominal,70,False,1.0,0.5
14,27,can,action_delay,130,True,1.0,0.5
187,227,milk,object_shift,50,False,1.0,0.5
186,227,milk,object_shift,90,False,1.0,0.5
129,127,bread,action_noise,50,False,1.0,0.5
227,227,cereal,object_shift,30,False,1.0,0.5
130,127,bread,action_noise,50,True,1.0,0.5
12,27,can,action_delay,50,True,1.0,0.5
117,127,milk,gripper_slip,10,True,1.0,0.5
76,27,cereal,gripper_slip,90,True,0.0,0.5
54,27,bread,action_delay,130,False,1.0,0.5
154,127,cereal,action_delay,50,True,1.0,0.5
62,27,cereal,nominal,70,True,1.0,0.5
113,127,milk,action_delay,50,True,1.0,0.5
178,227,can,gripper_slip,90,True,1.0,0.5
83,127,can,nominal,30,True,1.0,0.5
162,227,can,nominal,50,False,1.0,0.5
96,127,can,gripper_slip,110,False,0.0,0.5
232,227,cereal,action_delay,90,True,0.0,0.5
224,227,cereal,object_shift,90,False,0.0,0.5
145,127,cereal,object_shift,30,False,1.0,0.5
161,227,can,nominal,90,False,1.0,0.5
202,227,bread,nominal,90,False,1.0,0.5
36,27,milk,gripper_slip,50,True,1.0,0.5
63,27,cereal,nominal,90,False,1.0,0.5
152,127,cereal,action_delay,10,False,0.0,0.5
217,227,bread,gripper_slip,50,False,0.0,0.5
30,27,milk,action_noise,10,True,1.0,0.5
220,227,cereal,nominal,10,False,1.0,0.5
182,227,milk,nominal,70,False,1.0,0.5
133,127,bread,action_delay,90,False,0.0,0.5
194,227,milk,action_delay,10,True,1.0,0.54623723
93,127,can,action_delay,70,False,0.0,0.56377083
41,27,bread,nominal,30,False,1.0,0.5993635
157,127,cereal,gripper_slip,70,False,0.0,0.58818066
211,227,bread,action_noise,30,False,1.0,0.5353321
87,127,can,object_shift,10,True,1.0,0.5219011
91,127,can,action_noise,130,True,1.0,0.49591658
