episode_id,policy_seed,task,disturbance,step,assistance_observed,outcome_observed,logging_propensity
0,27,can,nominal,30,False,1.0,0.43435305
1,27,can,nominal,130,True,1.0,0.43291798
2,27,can,nominal,70,True,0.0,0.43104285
3,27,can,nominal,50,False,1.0,0.43728593
4,27,can,object_shift,10,True,1.0,0.4309959
5,27,can,object_shift,110,True,1.0,0.63906366
6,27,can,object_shift,50,True,1.0,0.4360302
7,27,can,object_shift,90,False,1.0,0.4318021
8,27,can,action_noise,70,True,0.0,0.43120107
9,27,can,action_noise,30,True,1.0,0.43223768
10,27,can,action_noise,50,False,1.0,0.44562638
11,27,can,action_noise,90,False,1.0,0.4351827
12,27,can,action_delay,110,False,1.0,0.43236294
13,27,can,action_delay,130,True,1.0,0.43349773
14,27,can,action_delay,10,True,1.0,0.43440768
15,27,can,action_delay,50,False,0.0,0.45222545
16,27,can,gripper_slip,10,False,0.0,0.4345569
17,27,can,gripper_slip,130,False,0.0,0.9
18,27,can,gripper_slip,90,True,1.0,0.64341754
19,27,can,gripper_slip,30,False,0.0,0.43186477
20,27,milk,nominal,70,True,1.0,0.4321404
21,27,milk,nominal,90,False,1.0,0.44300222
22,27,milk,nominal,30,False,1.0,0.4313895
23,27,milk,nominal,70,True,1.0,0.43167493
24,27,milk,object_shift,10,True,1.0,0.44716302
25,27,milk,object_shift,30,True,1.0,0.46940535
26,27,milk,object_shift,70,False,0.0,0.454366
27,27,milk,object_shift,10,False,1.0,0.43213612
28,27,milk,action_noise,50,True,1.0,0.43465286
29,27,milk,action_noise,70,False,1.0,0.431542
30,27,milk,action_noise,50,False,1.0,0.4326332
31,27,milk,action_noise,50,False,1.0,0.43153846
32,27,milk,action_delay,130,True,0.0,0.54443526
33,27,milk,action_delay,50,True,1.0,0.54570705
34,27,milk,action_delay,50,False,0.0,0.48584306
35,27,milk,action_delay,50,False,0.0,0.43517673
36,27,milk,gripper_slip,70,True,0.0,0.45028096
37,27,milk,gripper_slip,90,True,1.0,0.73014146
38,27,milk,gripper_slip,70,True,1.0,0.4412181
39,27,milk,gripper_slip,50,False,0.0,0.59064037
40,27,bread,nominal,90,False,1.0,0.68841416
41,27,bread,nominal,50,True,1.0,0.431829
42,27,bread,nominal,10,True,1.0,0.43386322
43,27,bread,nominal,50,False,1.0,0.4375239
44,27,bread,object_shift,50,True,1.0,0.45071244
45,27,bread,object_shift,10,False,0.0,0.4393697
46,27,bread,object_shift,10,False,0.0,0.43165374
47,27,bread,object_shift,30,True,1.0,0.4335076
48,27,bread,action_noise,10,True,1.0,0.4315936
49,27,bread,action_noise,110,True,1.0,0.9
50,27,bread,action_noise,90,False,1.0,0.44934663
51,27,bread,action_noise,90,False,1.0,0.43307555
52,27,bread,action_delay,70,False,0.0,0.49722293
53,27,bread,action_delay,90,True,1.0,0.45479944
54,27,bread,action_delay,90,False,1.0,0.5868176
55,27,bread,action_delay,70,True,1.0,0.68562984
56,27,bread,gripper_slip,50,True,1.0,0.5364235
57,27,bread,gripper_slip,130,True,1.0,0.7034671
58,27,bread,gripper_slip,70,True,1.0,0.43758675
59,27,bread,gripper_slip,110,True,1.0,0.9
60,27,cereal,nominal,50,True,1.0,0.4324402
61,27,cereal,nominal,30,False,1.0,0.44127208
62,27,cereal,nominal,110,True,1.0,0.4330452
63,27,cereal,nominal,50,False,1.0,0.430993
64,27,cereal,object_shift,50,False,1.0,0.43124625
65,27,cereal,object_shift,110,True,1.0,0.44886282
66,27,cereal,object_shift,10,True,1.0,0.43303904
67,27,cereal,object_shift,110,True,1.0,0.43142366
68,27,cereal,action_noise,30,True,1.0,0.43229005
69,27,cereal,action_noise,50,False,1.0,0.43216357
70,27,cereal,action_noise,110,True,0.0,0.9
71,27,cereal,action_noise,50,False,1.0,0.43249854
72,27,cereal,action_delay,10,True,1.0,0.45213073
73,27,cereal,action_delay,70,False,0.0,0.63860476
74,27,cereal,action_delay,110,True,0.0,0.9
75,27,cereal,action_delay,130,True,1.0,0.8321074
76,27,cereal,gripper_slip,10,False,0.0,0.43131813
77,27,cereal,gripper_slip,110,False,0.0,0.9
78,27,cereal,gripper_slip,110,False,0.0,0.9
79,27,cereal,gripper_slip,50,True,1.0,0.9
80,127,can,nominal,30,False,0.0,0.4336629
81,127,can,nominal,70,True,1.0,0.43184087
82,127,can,nominal,30,True,1.0,0.43143165
83,127,can,nominal,10,False,1.0,0.51577467
84,127,can,object_shift,30,False,1.0,0.4320531
85,127,can,object_shift,70,False,1.0,0.4310462
86,127,can,object_shift,90,False,0.0,0.469456
87,127,can,object_shift,30,True,1.0,0.4318909
88,127,can,action_noise,30,True,1.0,0.4334714
89,127,can,action_noise,10,False,1.0,0.4322697
90,127,can,action_noise,70,False,0.0,0.7105397
91,127,can,action_noise,10,False,1.0,0.4312014
92,127,can,action_delay,30,True,1.0,0.82001424
93,127,can,action_delay,30,True,1.0,0.4412996
94,127,can,action_delay,10,True,1.0,0.43158436
95,127,can,action_delay,90,True,1.0,0.46219334
96,127,can,gripper_slip,10,False,0.0,0.4375628
97,127,can,gripper_slip,30,False,0.0,0.4329575
98,127,can,gripper_slip,50,False,0.0,0.44114926
99,127,can,gripper_slip,70,True,1.0,0.5249044
100,127,milk,nominal,90,False,1.0,0.43277308
101,127,milk,nominal,70,False,1.0,0.43284133
102,127,milk,nominal,30,False,1.0,0.4327169
103,127,milk,nominal,90,True,1.0,0.45196828
104,127,milk,object_shift,110,True,1.0,0.54276365
105,127,milk,object_shift,70,True,1.0,0.5422412
106,127,milk,object_shift,50,False,0.0,0.48154756
107,127,milk,object_shift,110,True,1.0,0.81416404
108,127,milk,action_noise,10,False,1.0,0.43287477
109,127,milk,action_noise,10,False,1.0,0.43343502
110,127,milk,action_noise,10,True,1.0,0.44752392
111,127,milk,action_noise,90,True,0.0,0.9
112,127,milk,action_delay,50,True,0.0,0.50003904
113,127,milk,action_delay,130,False,0.0,0.47463658
114,127,milk,action_delay,90,True,1.0,0.43643525
115,127,milk,action_delay,10,False,0.0,0.4342298
116,127,milk,gripper_slip,130,True,1.0,0.4475249
117,127,milk,gripper_slip,130,True,0.0,0.4907697
118,127,milk,gripper_slip,30,False,0.0,0.43686193
119,127,milk,gripper_slip,30,True,1.0,0.46119982
120,127,bread,nominal,10,False,1.0,0.43247956
121,127,bread,nominal,90,False,1.0,0.43090618
122,127,bread,nominal,10,False,1.0,0.4314404
123,127,bread,nominal,10,False,1.0,0.4320869
124,127,bread,object_shift,50,False,0.0,0.48937735
125,127,bread,object_shift,10,False,0.0,0.47507077
126,127,bread,object_shift,30,True,1.0,0.43176365
127,127,bread,object_shift,10,False,0.0,0.44655693
128,127,bread,action_noise,110,True,1.0,0.45185664
129,127,bread,action_noise,90,False,1.0,0.53308845
130,127,bread,action_noise,10,True,1.0,0.4378585
131,127,bread,action_noise,90,True,1.0,0.4422935
132,127,bread,action_delay,10,True,1.0,0.43675932
133,127,bread,action_delay,90,False,0.0,0.44847924
134,127,bread,action_delay,130,True,0.0,0.46178398
135,127,bread,action_delay,90,True,1.0,0.48113406
136,127,bread,gripper_slip,30,False,0.0,0.43100867
137,127,bread,gripper_slip,50,True,1.0,0.630783
138,127,bread,gripper_slip,130,True,1.0,0.4833761
139,127,bread,gripper_slip,70,False,0.0,0.63877225
140,127,cereal,nominal,10,True,1.0,0.43354356
141,127,cereal,nominal,50,True,1.0,0.43149716
142,127,cereal,nominal,50,True,1.0,0.43111795
