episode_id,policy_seed,task,disturbance,step,assistance_observed,outcome_observed,logging_propensity
139,127,bread,gripper_slip,30,True,1.0,0.5
37,27,milk,gripper_slip,130,False,0.0,0.5
70,27,cereal,action_noise,50,False,0.0,0.5
50,27,bread,action_noise,30,False,1.0,0.5
175,227,can,action_delay,90,False,1.0,0.5
228,227,cereal,action_noise,30,False,1.0,0.5
238,227,cereal,gripper_slip,110,True,1.0,0.5
152,127,cereal,action_delay,110,True,0.0,0.5
72,27,cereal,action_delay,50,False,1.0,0.5
164,227,can,object_shift,90,False,0.0,0.5
116,127,milk,gripper_slip,30,False,0.0,0.5
75,27,cereal,action_delay,90,True,1.0,0.5
141,127,cereal,nominal,90,False,1.0,0.5
110,127,milk,action_noise,10,True,1.0,0.5
198,227,milk,gripper_slip,50,False,0.0,0.5
3,27,can,nominal,50,False,1.0,0.5
124,127,bread,object_shift,70,True,1.0,0.5
236,227,cereal,gripper_slip,30,False,0.0,0.5
63,27,cereal,nominal,70,True,1.0,0.5
216,227,bread,gripper_slip,110,False,0.0,0.5
188,227,milk,action_noise,50,False,1.0,0.5
36,27,milk,gripper_slip,30,False,0.0,0.5
153,127,cereal,action_delay,110,True,0.0,0.5
126,127,bread,object_shift,70,False,1.0,0.5
109,127,milk,action_noise,30,False,1.0,0.5
39,27,milk,gripper_slip,130,True,1.0,0.5
25,27,milk,object_shift,50,False,1.0,0.5
159,127,cereal,gripper_slip,30,False,0.0,0.5
31,27,milk,action_noise,10,True,0.0,0.5
108,127,milk,action_noise,50,False,1.0,0.5
52,27,bread,action_delay,110,False,0.0,0.5
235,227,cereal,action_delay,70,False,0.0,0.5
0,27,can,nominal,10,False,1.0,0.5
38,27,milk,gripper_slip,70,False,0.0,0.5
12,27,can,action_delay,110,False,1.0,0.5
51,27,bread,action_noise,30,True,1.0,0.5
26,27,milk,object_shift,130,False,0.0,0.5
93,127,can,action_delay,70,True,0.0,0.5
192,227,milk,action_delay,70,True,1.0,0.5
80,127,can,nominal,30,False,0.0,0.5
213,227,bread,action_delay,90,True,0.0,0.5
76,27,cereal,gripper_slip,110,True,0.0,0.5
125,127,bread,object_shift,110,False,0.0,0.5
17,27,can,gripper_slip,10,False,0.0,0.5
150,127,cereal,action_noise,10,True,1.0,0.5
187,227,milk,object_shift,10,True,1.0,0.5
201,227,bread,nominal,70,True,1.0,0.5
49,27,bread,action_noise,90,False,0.0,0.5
48,27,bread,action_noise,50,True,0.0,0.5
89,127,can,action_noise,70,False,1.0,0.5
56,27,bread,gripper_slip,90,False,1.0,0.5
69,27,cereal,action_noise,90,True,1.0,0.5
157,127,cereal,gripper_slip,130,False,0.0,0.5
88,127,can,action_noise,50,True,1.0,0.5
41,27,bread,nominal,10,True,1.0,0.5
30,27,milk,action_noise,50,False,1.0,0.5
167,227,can,object_shift,50,False,1.0,0.5
219,227,bread,gripper_slip,30,True,1.0,0.5
85,127,can,object_shift,50,False,1.0,0.5
160,227,can,nominal,10,True,1.0,0.5
60,27,cereal,nominal,30,True,1.0,0.6270007
217,227,bread,gripper_slip,130,True,1.0,0.56211257
9,27,can,action_noise,30,False,1.0,0.6036017
112,127,milk,action_delay,50,False,0.0,0.5527891
100,127,milk,nominal,10,True,1.0,0.6145452
122,127,bread,nominal,10,False,1.0,0.51551384
233,227,cereal,action_delay,70,True,1.0,0.5334292
121,127,bread,nominal,70,False,1.0,0.5208811
130,127,bread,action_noise,30,True,1.0,0.60999256
64,27,cereal,object_shift,30,False,1.0,0.5965007
208,227,bread,action_noise,10,False,1.0,0.5451548
15,27,can,action_delay,70,False,0.0,0.5722772
82,127,can,nominal,90,True,0.0,0.49894705
46,27,bread,object_shift,50,False,0.0,0.5946708
53,27,bread,action_delay,110,False,0.0,0.51423824
123,127,bread,nominal,50,False,1.0,0.488231
87,127,can,object_shift,130,False,1.0,0.5029728
136,127,bread,gripper_slip,110,True,1.0,0.6360369
128,127,bread,action_noise,70,True,1.0,0.5043908
58,27,bread,gripper_slip,10,True,1.0,0.5599677
145,127,cereal,object_shift,90,False,1.0,0.5054632
65,27,cereal,object_shift,110,True,1.0,0.5243716
57,27,bread,gripper_slip,130,True,1.0,0.60381484
237,227,cereal,gripper_slip,50,False,0.0,0.54613465
47,27,bread,object_shift,30,False,0.0,0.64288527
186,227,milk,object_shift,30,False,1.0,0.58023715
204,227,bread,object_shift,110,True,1.0,0.5373483
99,127,can,gripper_slip,50,False,0.0,0.6194265
154,127,cereal,action_delay,130,False,1.0,0.52576894
74,27,cereal,action_delay,10,True,1.0,0.5610759
62,27,cereal,nominal,50,True,1.0,0.5247481
191,227,milk,action_noise,10,True,1.0,0.5195572
207,227,bread,object_shift,10,True,1.0,0.5606325
115,127,milk,action_delay,50,True,1.0,0.57114565
230,227,cereal,action_noise,10,True,1.0,0.51637673
134,127,bread,action_delay,110,False,0.0,0.51961696
132,127,bread,action_delay,90,False,1.0,0.50545317
181,227,milk,nominal,50,False,1.0,0.5329685
119,127,milk,gripper_slip,10,False,0.0,0.49885145
182,227,milk,nominal,70,True,1.0,0.5148159
206,227,bread,object_shift,90,False,0.0,0.5671395
227,227,cereal,object_shift,30,True,1.0,0.5989598
81,127,can,nominal,30,True,1.0,0.61884606
