episode_id,policy_seed,task,disturbance,step,assistance_observed,outcome_observed,logging_propensity
0,27,can,nominal,10,False,1.0,0.43672982
1,27,can,nominal,70,False,1.0,0.43347076
2,27,can,nominal,10,False,1.0,0.4346684
3,27,can,nominal,50,False,1.0,0.44006443
4,27,can,object_shift,90,True,1.0,0.4403188
5,27,can,object_shift,30,False,0.0,0.43638054
6,27,can,object_shift,90,True,1.0,0.43785357
7,27,can,object_shift,90,False,1.0,0.43429115
8,27,can,action_noise,70,False,1.0,0.43365845
9,27,can,action_noise,30,False,1.0,0.43474972
10,27,can,action_noise,50,True,1.0,0.44884518
11,27,can,action_noise,90,True,1.0,0.43785018
12,27,can,action_delay,110,False,1.0,0.43488163
13,27,can,action_delay,130,False,1.0,0.43607628
14,27,can,action_delay,130,True,1.0,0.9
15,27,can,action_delay,70,False,0.0,0.45552623
16,27,can,gripper_slip,110,True,1.0,0.43570969
17,27,can,gripper_slip,10,True,1.0,0.43370807
18,27,can,gripper_slip,110,True,1.0,0.4551523
19,27,can,gripper_slip,90,True,1.0,0.60817903
20,27,milk,nominal,70,True,1.0,0.43464732
21,27,milk,nominal,70,True,1.0,0.43410832
22,27,milk,nominal,50,False,1.0,0.43482545
23,27,milk,nominal,10,True,1.0,0.43569508
24,27,milk,object_shift,50,False,0.0,0.54009646
25,27,milk,object_shift,50,False,1.0,0.43689078
26,27,milk,object_shift,130,False,0.0,0.4542865
27,27,milk,object_shift,50,False,1.0,0.43390098
28,27,milk,action_noise,30,True,1.0,0.4358386
29,27,milk,action_noise,30,False,1.0,0.4385784
30,27,milk,action_noise,50,True,1.0,0.43516612
31,27,milk,action_noise,10,False,1.0,0.46205318
32,27,milk,action_delay,30,False,0.0,0.4440115
33,27,milk,action_delay,110,True,0.0,0.44646055
34,27,milk,action_delay,30,False,0.0,0.4590228
35,27,milk,action_delay,130,False,0.0,0.6715876
36,27,milk,gripper_slip,30,True,1.0,0.43334395
37,27,milk,gripper_slip,130,False,0.0,0.51931465
38,27,milk,gripper_slip,70,False,0.0,0.4442042
39,27,milk,gripper_slip,130,False,0.0,0.44477957
40,27,bread,nominal,10,False,1.0,0.43432426
41,27,bread,nominal,10,True,1.0,0.44844514
42,27,bread,nominal,70,True,1.0,0.6362724
43,27,bread,nominal,30,True,1.0,0.44307867
44,27,bread,object_shift,110,False,1.0,0.43462127
45,27,bread,object_shift,70,True,1.0,0.5105401
46,27,bread,object_shift,50,False,0.0,0.4620405
47,27,bread,object_shift,30,True,1.0,0.43608665
48,27,bread,action_noise,50,True,0.0,0.43433467
49,27,bread,action_noise,90,True,1.0,0.9
50,27,bread,action_noise,30,False,1.0,0.4369181
51,27,bread,action_noise,30,False,1.0,0.5863303
52,27,bread,action_delay,110,False,0.0,0.46898016
53,27,bread,action_delay,110,True,0.0,0.50028765
54,27,bread,action_delay,50,True,1.0,0.4423553
55,27,bread,action_delay,10,True,1.0,0.43377736
56,27,bread,gripper_slip,90,True,1.0,0.43550563
57,27,bread,gripper_slip,130,False,0.0,0.7175697
58,27,bread,gripper_slip,10,True,1.0,0.43850887
59,27,bread,gripper_slip,130,True,0.0,0.701569
60,27,cereal,nominal,30,False,1.0,0.43627542
61,27,cereal,nominal,10,True,1.0,0.4358602
62,27,cereal,nominal,50,False,1.0,0.43408424
63,27,cereal,nominal,70,False,1.0,0.4338293
64,27,cereal,object_shift,30,True,1.0,0.4395543
65,27,cereal,object_shift,110,True,1.0,0.4522524
66,27,cereal,object_shift,70,True,0.0,0.6003574
67,27,cereal,object_shift,130,True,1.0,0.43418327
68,27,cereal,action_noise,10,False,1.0,0.43767333
69,27,cereal,action_noise,90,True,1.0,0.43380487
70,27,cereal,action_noise,50,True,1.0,0.4357847
71,27,cereal,action_noise,90,False,1.0,0.43666103
72,27,cereal,action_delay,50,False,1.0,0.46276486
73,27,cereal,action_delay,50,False,0.0,0.4830954
74,27,cereal,action_delay,10,False,0.0,0.44551438
75,27,cereal,action_delay,90,False,0.0,0.51957226
76,27,cereal,gripper_slip,110,False,0.0,0.49646124
77,27,cereal,gripper_slip,130,True,1.0,0.47785097
78,27,cereal,gripper_slip,70,True,0.0,0.5731941
79,27,cereal,gripper_slip,30,True,1.0,0.43746126
80,127,can,nominal,30,True,1.0,0.43625018
81,127,can,nominal,30,False,1.0,0.43999833
82,127,can,nominal,90,True,0.0,0.43412882
83,127,can,nominal,50,False,1.0,0.48139143
84,127,can,object_shift,130,True,1.0,0.73041767
85,127,can,object_shift,50,False,1.0,0.4645506
86,127,can,object_shift,70,False,0.0,0.46929267
87,127,can,object_shift,130,True,1.0,0.43901107
88,127,can,action_noise,50,False,1.0,0.43927687
89,127,can,action_noise,70,True,1.0,0.4339173
90,127,can,action_noise,110,False,0.0,0.44838
91,127,can,action_noise,130,False,1.0,0.43644482
92,127,can,action_delay,110,False,1.0,0.44889858
93,127,can,action_delay,70,True,0.0,0.51321465
94,127,can,action_delay,130,True,1.0,0.9
95,127,can,action_delay,50,False,0.0,0.4594965
96,127,can,gripper_slip,70,True,1.0,0.46820253
97,127,can,gripper_slip,10,False,0.0,0.43363732
98,127,can,gripper_slip,70,True,1.0,0.60709596
99,127,can,gripper_slip,50,True,1.0,0.45182857
100,127,milk,nominal,10,False,1.0,0.44098133
101,127,milk,nominal,90,True,1.0,0.4365594
102,127,milk,nominal,10,False,1.0,0.4352955
103,127,milk,nominal,50,True,0.0,0.4530613
104,127,milk,object_shift,90,True,0.0,0.59467113
105,127,milk,object_shift,50,False,0.0,0.48089564
106,127,milk,object_shift,50,False,0.0,0.48665205
107,127,milk,object_shift,130,False,0.0,0.60079986
108,127,milk,action_noise,50,True,1.0,0.43717745
109,127,milk,action_noise,30,True,1.0,0.4921399
110,127,milk,action_noise,10,True,1.0,0.45084286
111,127,milk,action_noise,10,False,0.0,0.43562302
112,127,milk,action_delay,50,False,0.0,0.50609815
113,127,milk,action_delay,90,False,0.0,0.4675579
114,127,milk,action_delay,70,False,0.0,0.43435696
115,127,milk,action_delay,50,True,1.0,0.6242275
116,127,milk,gripper_slip,30,True,1.0,0.45563048
117,127,milk,gripper_slip,50,False,0.0,0.46086857
118,127,milk,gripper_slip,130,False,0.0,0.4534789
119,127,milk,gripper_slip,10,False,0.0,0.4341374
120,127,bread,nominal,50,True,1.0,0.43424207
121,127,bread,nominal,70,False,1.0,0.434091
122,127,bread,nominal,10,True,1.0,0.43391037
123,127,bread,nominal,50,True,0.0,0.43366462
124,127,bread,object_shift,70,True,1.0,0.9
125,127,bread,object_shift,110,True,1.0,0.8455102
126,127,bread,object_shift,70,False,1.0,0.43480137
127,127,bread,object_shift,50,False,0.0,0.4778813
128,127,bread,action_noise,70,True,1.0,0.45799008
129,127,bread,action_noise,50,False,1.0,0.4361892
130,127,bread,action_noise,30,True,1.0,0.44361714
131,127,bread,action_noise,90,True,1.0,0.44533637
132,127,bread,action_delay,90,False,1.0,0.45312905
133,127,bread,action_delay,70,True,1.0,0.9
134,127,bread,action_delay,110,False,0.0,0.48588794
135,127,bread,action_delay,70,True,1.0,0.44772816
136,127,bread,gripper_slip,110,True,1.0,0.48903757
137,127,bread,gripper_slip,50,False,0.0,0.6427455
138,127,bread,gripper_slip,130,False,0.0,0.4885756
139,127,bread,gripper_slip,30,False,0.0,0.43418103
140,127,cereal,nominal,10,True,1.0,0.4361245
141,127,cereal,nominal,90,True,1.0,0.44220287
142,127,cereal,nominal,10,True,1.0,0.5558504
143,127,cereal,nominal,70,False,1.0,0.43335602
144,127,cereal,object_shift,70,True,1.0,0.43334377
145,127,cereal,object_shift,90,False,1.0,0.43336484
146,127,cereal,object_shift,50,False,0.0,0.6286977
147,127,cereal,object_shift,70,False,0.0,0.5978746
148,127,cereal,action_noise,10,True,1.0,0.51622206
149,127,cereal,action_noise,50,False,1.0,0.4378801
150,127,cereal,action_noise,10,True,1.0,0.43670955
151,127,cereal,action_noise,90,True,1.0,0.4501596
152,127,cereal,action_delay,110,False,0.0,0.4898764
153,127,cereal,action_delay,110,True,0.0,0.5146433
154,127,cereal,action_delay,130,False,1.0,0.52898926
155,127,cereal,action_delay,130,False,0.0,0.43663254
156,127,cereal,gripper_slip,110,True,0.0,0.9
157,127,cereal,gripper_slip,130,False,0.0,0.6023387
158,127,cereal,gripper_slip,130,True,1.0,0.9
159,127,cereal,gripper_slip,30,True,1.0,0.43578625
160,227,can,nominal,10,True,1.0,0.433932
161,227,can,nominal,50,True,1.0,0.43439972
162,227,can,nominal,90,False,1.0,0.4348765
163,227,can,nominal,10,False,1.0,0.43378043
164,227,can,object_shift,90,False,0.0,0.4438724
165,227,can,object_shift,70,False,1.0,0.58883363
166,227,can,object_shift,110,False,1.0,0.43497378
167,227,can,object_shift,50,False,1.0,0.43374532
168,227,can,action_noise,110,False,1.0,0.43949968
169,227,can,action_noise,30,False,1.0,0.4500142
170,227,can,action_noise,50,True,1.0,0.8809845
171,227,can,action_noise,110,False,1.0,0.43538296
172,227,can,action_delay,30,False,0.0,0.49725005
173,227,can,action_delay,30,False,0.0,0.43835166
174,227,can,action_delay,30,False,0.0,0.45481652
175,227,can,action_delay,90,True,0.0,0.43610957
176,227,can,gripper_slip,10,True,1.0,0.43367562
177,227,can,gripper_slip,10,False,1.0,0.43393508
178,227,can,gripper_slip,30,False,0.0,0.43497297
179,227,can,gripper_slip,70,False,0.0,0.4378008
180,227,milk,nominal,10,True,1.0,0.43471262
181,227,milk,nominal,50,False,1.0,0.4343326
182,227,milk,nominal,70,True,1.0,0.43376264
183,227,milk,nominal,30,False,1.0,0.43403104
184,227,milk,object_shift,130,False,0.0,0.54786307
185,227,milk,object_shift,30,True,0.0,0.49411196
186,227,milk,object_shift,30,False,1.0,0.43461725
187,227,milk,object_shift,10,True,1.0,0.43617108
188,227,milk,action_noise,50,False,1.0,0.43711153
189,227,milk,action_noise,10,False,1.0,0.437001
190,227,milk,action_noise,10,False,1.0,0.43497306
191,227,milk,action_noise,10,True,1.0,0.43384403
192,227,milk,action_delay,70,False,1.0,0.43374544
193,227,milk,action_delay,130,True,0.0,0.9
194,227,milk,action_delay,130,True,0.0,0.62274355
195,227,milk,action_delay,50,False,0.0,0.4595344
196,227,milk,gripper_slip,130,True,1.0,0.88844866
197,227,milk,gripper_slip,130,True,1.0,0.9
198,227,milk,gripper_slip,50,False,0.0,0.43777525
199,227,milk,gripper_slip,50,False,1.0,0.44241965
200,227,bread,nominal,130,False,1.0,0.4359901
201,227,bread,nominal,70,False,0.0,0.55180293
202,227,bread,nominal,110,False,1.0,0.4338959
203,227,bread,nominal,70,False,1.0,0.43366045
204,227,bread,object_shift,110,True,1.0,0.43796322
205,227,bread,object_shift,70,False,1.0,0.45602736
206,227,bread,object_shift,90,True,1.0,0.5289818
207,227,bread,object_shift,10,True,1.0,0.43747562
208,227,bread,action_noise,10,False,1.0,0.43513092
209,227,bread,action_noise,50,True,1.0,0.44620565
210,227,bread,action_noise,90,True,1.0,0.43454704
211,227,bread,action_noise,30,False,1.0,0.43444565
212,227,bread,action_delay,130,False,0.0,0.47677845
213,227,bread,action_delay,90,True,0.0,0.6179125
214,227,bread,action_delay,10,True,1.0,0.44918248
215,227,bread,action_delay,70,True,1.0,0.65316033
216,227,bread,gripper_slip,110,False,0.0,0.5572338
217,227,bread,gripper_slip,130,True,1.0,0.48875898
218,227,bread,gripper_slip,50,False,0.0,0.579829
219,227,bread,gripper_slip,30,True,1.0,0.9
220,227,cereal,nominal,50,True,1.0,0.43390352
221,227,cereal,nominal,10,False,1.0,0.46167144
222,227,cereal,nominal,50,True,1.0,0.43328917
223,227,cereal,nominal,30,True,1.0,0.44124106
224,227,cereal,object_shift,30,False,0.0,0.43448782
225,227,cereal,object_shift,70,False,1.0,0.4334842
226,227,cereal,object_shift,10,True,1.0,0.50808454
227,227,cereal,object_shift,30,False,1.0,0.4348958
228,227,cereal,action_noise,30,True,1.0,0.4405358
229,227,cereal,action_noise,90,True,1.0,0.4345363
230,227,cereal,action_noise,10,True,1.0,0.43758824
231,227,cereal,action_noise,10,False,1.0,0.43599385
232,227,cereal,action_delay,130,False,0.0,0.5393349
233,227,cereal,action_delay,70,True,1.0,0.48378152
234,227,cereal,action_delay,50,False,0.0,0.9
235,227,cereal,action_delay,70,True,0.0,0.58066064
236,227,cereal,gripper_slip,30,False,0.0,0.43598062
237,227,cereal,gripper_slip,50,True,1.0,0.9
238,227,cereal,gripper_slip,110,False,0.0,0.4838812
239,227,cereal,gripper_slip,50,False,0.0,0.49173582
